frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.92,  1, 0.37, 0.00, 0.00, 0.00, 1.03, 0.18, 0.96, 1.34, 1.76, 1.02, 1.61, 0.00, 0.28, 0.00, 3.11, 0.41, 0.24, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
2,  0,  0.000,  0.98,  1, 0.28, 0.00, 0.17, 0.00, 0.74, 0.80, 0.32, 0.71, 1.39, 0.57, 0.68, 0.92, 0.09, 0.39, 1.04, 0.69, 1.32, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
3,  0,  0.000,  0.98,  1, 0.42, 0.00, 0.30, 0.00, 1.06, 1.21, 0.00, 0.88, 1.98, 0.70, 0.14, 0.92, 0.00, 0.78, 0.00, 0.94, 2.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.000,  0.98,  1, 0.26, 0.00, 0.33, 0.00, 1.46, 1.21, 0.21, 1.50, 2.95, 0.99, 0.22, 1.89, 0.35, 0.78, 0.10, 0.63, 1.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.000,  0.98,  1, 0.85, 0.29, 0.20, 0.00, 1.35, 0.48, 0.21, 1.95, 2.56, 1.40, 0.08, 1.49, 0.61, 0.38, 0.23, 1.25, 0.82, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.000,  0.98,  1, 0.59, 0.29, 0.08, 0.00, 1.07, 0.39, 0.47, 1.33, 1.83, 1.65, 0.22, 1.60, 0.61, 0.00, 0.23, 0.86, 0.36, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.000,  0.98,  1, 1.05, 0.29, 0.34, 0.04, 1.18, 0.85, 0.26, 1.17, 1.54, 1.68, 0.15, 0.61, 0.29, 0.00, 1.01, 1.46, 0.78, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.000,  0.98,  1, 1.17, 0.98, 0.29, 0.17, 1.31, 0.85, 0.26, 0.73, 2.16, 1.40, 0.15, 0.11, 0.04, 0.00, 1.69, 1.09, 0.78, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
9,  0,  0.000,  0.98,  1, 1.17, 0.98, 0.29, 0.17, 1.70, 0.66, 0.00, 1.33, 2.64, 0.86, 0.00, 0.76, 0.04, 0.57, 1.69, 1.12, 0.42, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0,  0.000,  0.98,  1, 0.72, 0.98, 0.00, 0.13, 1.42, 0.30, 0.00, 1.11, 2.78, 0.75, 0.00, 0.76, 0.10, 0.57, 1.46, 0.55, 0.20, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0,  0.000,  0.98,  1, 0.17, 0.44, 0.57, 0.26, 1.00, 0.30, 0.00, 0.84, 2.41, 0.40, 0.22, 1.38, 0.10, 0.60, 0.66, 1.22, 0.56, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0,  0.000,  0.88,  1, 0.17, 0.44, 0.79, 0.26, 0.92, 0.52, 0.00, 0.82, 2.32, 0.83, 0.22, 1.64, 0.29, 0.95, 0.66, 1.38, 0.56, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0,  0.000,  0.98,  1, 0.17, 0.44, 0.79, 0.32, 0.72, 0.41, 0.00, 1.00, 1.98, 1.37, 0.22, 1.96, 0.21, 0.98, 0.01, 1.10, 0.36, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
