frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.43, 0.44, -1.81, 0.35, -0.20, 0.19, 0.49, 1.64, 1.69, 0.89, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.000, 0.88, 1, -2.63, -0.46, -1.15, 2.03, -1.43, -0.09, 0.35, 0.16, -1.20, 0.60, 1.62, 2.11, -0.38, 4.14, 0.68, 2.27, -0.49, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
3, 0, 0.000, 0.98, 1, -2.71, -2.28, 0.82, 0.81, 1.85, 1.14, 0.57, 0.97, 1.43, 2.40, 0.16, 1.53, 2.15, 2.35, 1.63, 1.10, -1.43, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0
4, 0, 0.000, 0.88, 1, 1.55, 2.90, -3.11, 3.94, -1.59, -0.29, 0.51, -0.74, -0.56, -1.81, -1.10, 1.23, -3.20, -0.45, -0.16, 1.28, -2.34, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0
5, 0, 0.000, 0.98, 1, 0.01, 0.72, -0.55, 1.83, 0.22, 0.62, -0.12, 0.51, 0.96, 0.03, 0.76, 1.78, -0.41, 0.81, 0.52, 1.23, -0.73, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
6, 0, 0.000, 0.58, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
7, 0, 0.000, 0.02, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 0, 0.000, 0.98, 1, -4.01, -4.31, -0.81, -1.82, -0.14, 1.11, 2.08, -0.18, -1.19, -0.50, 0.11, 1.10, 1.48, 2.74, 1.26, 3.07, -0.63, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
9, 0, 0.000, 0.98, 1, 0.87, -0.56, -1.16, 0.99, 0.15, -1.15, 0.65, 0.01, 0.85, -1.27, 0.51, 0.11, -1.27, -0.14, 1.52, 0.62, -0.81, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10, 0, 0.000, 0.88, 1, -1.92, -0.07, -0.31, 1.28, -1.00, -1.08, 0.04, -1.17, -0.46, -1.13, -0.44, 1.99, 0.32, 1.35, 0.79, 1.49, -0.32, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
